Rank,Player,3P
1,Stephen Curry,3462
2,Ray Allen*,2973
3,James Harden,2768
4,Reggie Miller*,2560
5,Kyle Korver,2450
6,Damian Lillard,2421
7,LeBron James,2293
8,Vince Carter,2290
9,Jason Terry,2282
10,Klay Thompson,2248
11,Jamal Crawford,2221
12,Paul Pierce*,2143
13,Kyle Lowry,2101
14,Paul George,2050
15,Jason Kidd*,1988
16,Dirk Nowitzki*,1982
17,Joe Johnson,1978
18,J.J. Redick,1950
19,J.R. Smith,1930
20,Eric Gordon,1911
21,Kevin Durant,1895
22,Chauncey Billups,1830
23,Kobe Bryant*,1827
24,Wesley Matthews,1825
25,Rashard Lewis,1787
26,Peja Stojaković,1760
27,Buddy Hield,1744
28,Carmelo Anthony,1731
29,Dale Ellis,1719
30,Steve Nash*,1685
31,Kemba Walker,1670
32,Chris Paul,1661
33,Mike Conley,1649
34,Jason Richardson,1608
35,Trevor Ariza,1605
36,Nicolas Batum,1601
37,CJ McCollum,1598
38,Mike Miller,1590
39,Kyrie Irving,1589
40,Kevin Love,1580
41,Danny Green,1577
42,Glen Rice,1559
43,Eddie Jones,1546
44,Tim Hardaway*,1542
45,Nick Van Exel,1528
46,Bradley Beal,1519
47,Mike Bibby,1517
48,Tim Hardaway Jr.,1516
49,Patty Mills,1496
50,Manu Ginóbili*,1495
51,Lou Williams,1457
52,Michael Finley,1454
53,Danilo Gallinari,1435
54,Brent Barry,1395
55,Antoine Walker,1386
56,Bojan Bogdanović,1378
57,Dan Majerle,1360
58,Jrue Holiday,1350
59,Baron Davis,1332
60,Terrence Ross,1329
61,Evan Fournier,1326
NA,Mitch Richmond*,1326
63,Ryan Anderson,1325
64,Kentavious Caldwell-Pope,1318
65,Allan Houston,1305
66,Mike Dunleavy,1304
67,Terry Porter,1297
68,Mookie Blaylock,1283
69,Khris Middleton,1280
70,Zach LaVine,1273
71,D'Angelo Russell,1271
72,D.J. Augustin,1262
73,Vernon Maxwell,1256
74,Marcus Morris,1253
NA,Clifford Robinson,1253
76,Jordan Clarkson,1252
NA,Robert Covington,1252
NA,Stephen Jackson,1252
79,Shane Battier,1250
NA,C.J. Miles,1250
81,Derek Fisher,1248
82,Hedo Türkoğlu,1246
83,Dell Curry,1245
84,Russell Westbrook,1243
85,Donovan Mitchell,1238
NA,Jason Williams,1238
87,Damon Stoudamire,1236
88,Hersey Hawkins,1226
89,John Starks,1222
90,Chuck Person,1220
91,Marco Belinelli,1216
92,Wayne Ellington,1214
NA,Dennis Scott,1214
94,Jae Crowder,1186
NA,Rudy Gay,1186
96,Deron Williams,1178
97,Kirk Hinrich,1172
98,Ben Gordon,1171
99,Quentin Richardson,1167
100,Joe Ingles,1166
101,Antawn Jamison,1163
102,Harrison Barnes,1157
103,Metta World Peace,1154
104,Jameer Nelson,1153
105,Goran Dragić,1150
NA,Wesley Person,1150
107,Steve Smith,1148
108,Tobias Harris,1145
109,Kevin Martin,1141
110,Gary Payton*,1132
111,Jeff Green,1124
NA,Terry Rozier,1124
113,David Wesley,1123
114,Jayson Tatum,1115
115,Randy Foye,1104
NA,Latrell Sprewell,1104
117,Devin Booker,1103
118,Mo Williams,1094
119,Dana Barros,1090
120,Rasheed Wallace,1086
121,Cuttino Mobley,1085
122,Gordon Hayward,1084
123,Andre Iguodala,1081
NA,Tracy McGrady*,1081
125,Gilbert Arenas,1079
126,Lindsey Hunter,1075
127,Derek Harper,1070
128,George Hill,1066
129,Reggie Jackson,1063
130,Allen Iverson*,1059
131,Nick Anderson,1055
132,Channing Frye,1049
133,Marvin Williams,1046
134,Michael Redd,1045
135,Richard Jefferson,1042
NA,Isaiah Thomas,1042
137,Nick Young,1039
138,Steve Blake,1037
NA,Fred VanVleet,1037
140,James Posey,1035
141,Justin Holiday,1029
142,Joe Harris,1022
143,Morris Peterson,1009
144,Danny Granger,1006
145,Danny Ainge,1002
146,Kawhi Leonard,999
147,Rafer Alston,996
148,Stephon Marbury,991
149,Joe Dumars*,990
150,Leandro Barbosa,988
NA,Jerry Stackhouse,988
152,Matt Barnes,982
153,Scottie Pippen*,978
154,Al Harrington,977
155,Mark Price,976
NA,Walt Williams,976
157,Luka Dončić,974
158,Vladimir Radmanović,971
159,Gerald Green,962
NA,Tim Thomas,962
161,Raja Bell,956
162,Michael Adams,949
163,Malik Beasley,948
164,Damon Jones,941
165,Anthony Peeler,940
166,Andrew Wiggins,938
167,Voshon Lenard,936
168,Chucky Atkins,934
169,Marcus Smart,929
170,Bogdan Bogdanović,925
NA,Raymond Felton,925
172,Darrell Armstrong,923
173,José Calderón,920
NA,George McCloud,920
175,Jaylen Brown,915
176,Patrick Beverley,914
NA,Brandon Jennings,914
178,Rasual Butler,911
NA,Trae Young,911
180,Donyell Marshall,902
181,Will Barton,893
182,Jared Dudley,883
NA,Ersan İlyasova,883
184,Jim Jackson,881
185,Lauri Markkanen,877
186,Courtney Lee,876
187,Wilson Chandler,874
188,Doug McDermott,872
189,Duncan Robinson,870
190,P.J. Tucker,869
191,Ben McLemore,868
192,Eric Piatkowski,865
NA,Anthony Tolliver,865
NA,Karl-Anthony Towns,865
195,Avery Bradley,859
NA,Jamal Murray,859
197,Eric Bledsoe,854
NA,Reggie Bullock,854
NA,O.J. Mayo,854
200,Arron Afflalo,852
201,Sam Perkins,849
202,John Stockton*,845
203,Kelly Olynyk,837
204,Devin Harris,832
205,Kyle Kuzma,829
206,Seth Curry,828
NA,Jeff Hornacek,828
208,Clyde Drexler*,827
209,Kelly Oubre Jr.,824
210,Dennis Schröder,822
211,Aaron Brooks,820
212,J.J. Barea,819
213,Bruce Bowen,818
214,Gary Harris,817
NA,Eddie House,817
216,Chris Mullin*,815
217,Victor Oladipo,814
218,Josh Richardson,813
219,Dāvis Bertāns,811
NA,Nate Robinson,811
221,Brook Lopez,810
222,Anthony Morrow,807
223,Rex Chapman,805
NA,Doug Christie,805
225,Kevin Huerter,799
226,Matt Bonner,797
227,Robert Horry,795
228,Louie Dampier*,794
229,Shawn Marion,791
230,Martell Webster,790
231,Austin Rivers,789
232,Alec Burks,786
233,James Jones,776
234,Jodie Meeks,775
NA,Byron Scott,775
236,Rick Fox,771
237,Al Horford,768
238,Jamal Mashburn,767
239,Spencer Dinwiddie,761
240,Kristaps Porziņģis,758
241,Jerami Grant,757
242,Mario Chalmers,755
243,Tracy Murray,753
244,Caron Butler,746
NA,Jalen Rose,746
246,Devonte' Graham,742
247,Monta Ellis,737
NA,Norman Powell,737
249,Marcus Thornton,735
250,Mark Jackson,734
